Country/entity name,Adjectivals,Demonyms
Abkhazia,AbkhazAbkhazian,Abkhazians
Afghanistan,Afghan,Afghans
Åland,Åland Island,Ålanders
Albania,Albanian,Albanians
Algeria,Algerian,Algerians
American Samoa,American Samoan,American Samoans
Andorra,Andorran,Andorrans
Angola,Angolan,Angolans
Anguilla,Anguillan,Anguillans
Antarctica,Antarctic,"Antarctic residents, Antarcticans[dubious – discuss]"
Antigua and Barbuda,AntiguanBarbudan,AntiguansBarbudans
Argentina,ArgentineArgentinian,ArgentinesArgentinians
Armenia,Armenian,Armenians
Aruba,Aruban,Arubans
Australia,Australian,Australians
Austria,Austrian,Austrians
Azerbaijan,AzerbaijaniAzeri,AzerbaijanisAzeris
The Bahamas,Bahamian,Bahamians
Bahrain,Bahraini,Bahrainis
Bangladesh,Bangladeshi,Bangladeshis
Barbados,Barbadian,BarbadiansBajans
Belarus,Belarusian,Belarusians
Belgium,Belgian,Belgians
Belize,Belizean,Belizeans
Benin,BenineseBeninois,BenineseBeninois
Bermuda,BermudianBermudan,BermudiansBermudans
Bhutan,Bhutanese,Bhutanese
Bolivia,Bolivian,Bolivians
Bonaire,BonaireBonairean,Bonaireans
Bosnia and Herzegovina,BosnianHerzegovinian,BosniansHerzegovinians
Botswana,Botswanan,Batswana (singular Motswana)
Bouvet Island,Bouvet Island,Bouvet Islanders
Brazil,Brazilian,Brazilians
British Indian Ocean Territory,BIOT,British
Brunei,Bruneian,Bruneians
Bulgaria,Bulgarian,Bulgarians
Burkina Faso,Burkinabe,Burkinabes
Burundi,Burundian,BurundiansBarundi
Cabo Verde,Cabo Verdean,Cabo Verdeans
Cambodia,Cambodian,Cambodians
Cameroon,Cameroonian,Cameroonians
Canada,Canadian,Canadians
Cayman Islands,Caymanian,Caymanians
Central African Republic,Central African,Central Africans
Chad,Chadian,Chadians
Chile,Chilean,Chileans
China,Chinese,Chinese
Christmas Island,Christmas Island,Christmas Islanders
Cocos (Keeling) Islands,Cocos Island,Cocos Islanders
Colombia,Colombian,Colombians
Comoros,ComoranComorian,ComoransComorians
Democratic Republic of the Congo,Congolese,Congolese
Republic of the Congo,Congolese,Congolese
Cook Islands,Cook Island,Cook Islanders
Costa Rica,Costa Rican,Costa Ricans
Croatia,Croatian,CroatiansCroats
Cuba,Cuban,Cubans
Curaçao,Curaçaoan,Curaçaoans
Cyprus,Cypriot,Cypriots
Czech Republic,Czech,Czechs
Denmark,Danish,Danes
Djibouti,Djiboutian,Djiboutians
Dominica,Dominican,Dominicans
Dominican Republic,Dominican,Dominicans
East Timor,Timorese,Timorese
Ecuador,Ecuadorian,Ecuadorians
Egypt,Egyptian,Egyptians
El Salvador,Salvadoran,SalvadoransSalvadoriansSalvadoreans
England,English,EnglishEnglishmen and Englishwomen
Equatorial Guinea,Equatorial GuineanEquatoguinean,Equatorial GuineansEquatoguineans
Eritrea,Eritrean,Eritreans
Estonia,Estonian,Estonians
Eswatini,SwaziSwati,Swazis
Ethiopia,Ethiopian,EthiopiansHabesha
European Union,European,Europeans
Falkland Islands,Falkland Island,Falkland Islanders
Faroe Islands,Faroese,Faroese
Fiji,Fijian,Fijians
Finland,Finnish,Finns
France,French,FrenchFrenchmen and Frenchwomen
French Guiana,French Guianese,French Guianese
French Polynesia,French Polynesian,French Polynesians
French Southern Territories,French Southern Territories,French
Gabon,Gabonese,GaboneseGabonaise
The Gambia,Gambian,Gambians
Georgia,Georgian,Georgians
Germany,German,Germans
Ghana,Ghanaian,Ghanaians
Gibraltar,Gibraltar,Gibraltarians
Greece,GreekHellenic,GreeksHellenes
Greenland,Greenlandic,Greenlanders
Grenada,Grenadian,Grenadians
Guadeloupe,Guadeloupe,GuadeloupiansGuadeloupeans
Guam,Guamanian,Guamanians
Guatemala,Guatemalan,Guatemalans
Guernsey,Guernsey,Guernseymen and Guernseywomen
Guinea,Guinean,Guineans
Guinea-Bissau,Bissau-Guinean,Bissau-Guineans
Guyana,Guyanese,Guyanese
Haiti,Haitian,Haitians
Heard Island and McDonald Islands,Heard IslandMcDonald Island,Heard IslandersMcDonald Islanders
Honduras,Honduran,Hondurans
Hong Kong,Hong KongCantoneseHong Konger,HongkongersHong Kongese
Hungary,HungarianMagyar,HungariansMagyars
Iceland,Icelandic,Icelanders
India,Indian,Indians
Indonesia,Indonesian,Indonesians
Iran,IranianPersian,IraniansPersians
Iraq,Iraqi,Iraqis
Ireland,Irish,IrishIrishmen and Irishwomen
Isle of Man,Manx,ManxManxmen and Manxwomen
Israel,IsraeliIsraelite,Israelis
Italy,Italian,Italians
Ivory Coast,Ivorian,Ivorians
Jamaica,Jamaican,Jamaicans
Jan Mayen,Jan Mayen,Jan Mayen residents
Japan,Japanese,Japanese
Jersey,Jersey,Jerseymen and JerseywomenJersianJèrriais
Jordan,Jordanian,Jordanians
Kazakhstan,KazakhstaniKazakh,KazakhstanisKazakhs
Kenya,Kenyan,Kenyans
Kiribati,Kiribati,I-Kiribati
North Korea,North Korean,KoreansNorth Koreans
South Korea,South Korean,KoreansSouth Koreans
Kosovo,KosovarKosovan,"Kosovars, Kosovans"
Kuwait,Kuwaiti,Kuwaitis
Kyrgyzstan,KyrgyzstaniKyrgyzKirgizKirghiz,KyrgyzstanisKyrgyzKirgizKirghiz
Laos,LaoLaotian,LaosLaotians
Latvia,LatvianLettish,LatviansLetts
Lebanon,Lebanese,Lebanese
Lesotho,Basotho,Basotho (singular Mosotho)
Liberia,Liberian,Liberians
Libya,Libyan,Libyans
Liechtenstein,Liechtensteiner,Liechtensteiners
Lithuania,Lithuanian,Lithuanians
Luxembourg,LuxembourgLuxembourgish,Luxembourgers
Macau,Macanese,Macanese
Madagascar,"Malagasy, Madagascan","Malagasy, Madagascans"
Malawi,Malawian,Malawians
Malaysia,Malaysian,Malaysians
Maldives,Maldivian,Maldivians
Mali,MalianMalinese,Malians
Malta,Maltese,Maltese
Marshall Islands,Marshallese,Marshallese
Martinique,MartiniquaisMartinican,MartiniquaisMartiniquaises
Mauritania,Mauritanian,Mauritanians
Mauritius,Mauritian,Mauritians
Mayotte,Mahoran,Mahorans
Mexico,Mexican,Mexicans
Micronesia,Micronesian,Micronesians
Moldova,Moldovan,Moldovans
Monaco,MonégasqueMonacan,MonégasquesMonacans
Mongolia,Mongolian,MongoliansMongols
Montenegro,Montenegrin,Montenegrins
Montserrat,Montserratian,Montserratians
Morocco,Moroccan,Moroccans
Mozambique,Mozambican,Mozambicans
Myanmar,MyanmaBurmese,Myanmar
Namibia,Namibian,Namibians
Nauru,Nauruan,Nauruans
Nepal,NepaliNepalese,NepalisNepalese
Netherlands,Dutch,DutchDutchmen and DutchwomenNetherlanders
New Caledonia,New Caledonian,New Caledonians
New Zealand,New Zealand,New Zealanders
Nicaragua,Nicaraguan,Nicaraguans
Niger,Nigerien,Nigeriens
Nigeria,Nigerian,Nigerians
Niue,Niuean,Niueans
Norfolk Island,Norfolk Island,Norfolk Islanders
North Macedonia,Macedonian,Macedonians
Northern Cyprus,"Northern Cypriot, Turkish Cypriot","Northern Cypriots, Turkish Cypriots, Cypriot Turks"
Northern Ireland,Northern Irish,Northern IrishNorthern Irishmen and Northern Irishwomen
Northern Mariana Islands,Northern Marianan,Northern Marianans
Norway,Norwegian,Norwegians
Oman,Omani,Omanis
Pakistan,Pakistani,Pakistanis
Palau,Palauan,Palauans
Palestine,Palestinian,Palestinians
Panama,Panamanian,Panamanians
Papua New Guinea,Papua New GuineanPapuan,Papua New GuineansPapuans
Paraguay,Paraguayan,Paraguayans
Peru,Peruvian,Peruvians
Philippines,FilipinoPhilippine,FilipinosFilipinas
Pitcairn Islands,Pitcairn Island,Pitcairn Islanders
